AOI COVERAGE REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Program Name:, PH_PH95235939_J_BOT_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Program Generated:, Date: 2023 12 13 Time: 14:32:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Components Detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trained,657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Untrained,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Components,658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trained But Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UnTrained But Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Skipped Components,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage (Excluded Skip Component),100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RefDes, Part Number, Type, Z-Height, Presence Mode, Locator Image Plane, Presence Threshold, Hor Threshold, Ver threshold, Skew threshold,  Billboard, Flipped, Bridging, Joints, Side Fillets, Lead Ringer, Tweeze, OCR, OCV, OCI, VPOD, CPM, LiftedLead, Coplan, Damaged, Polarity, TombStone, Foreign Material, Custom Inspection, AWC Inspection, 3D Geometry Measure, Through Hole Tech, Alternates, Comment, Gap Detector, Periodic Check
1:r174,PH10228920,bph10228920,---,3D Mode,3D Only,50,180,150,5,On,---,---,On,---,---,---,Off,Off,---,---,---,Off,On,On,Off,---,On,On,Off,Off,---,Off,,---,Off
1:r175,PH10228920,bph10228920,---,3D Mode,3D Only,50,180,150,5,On,---,---,On,---,---,---,Off,Off,---,---,---,Off,On,On,Off,---,On,On,Off,Off,---,Off,,---,Off
1:r172,PH10228920,bph10228920,---,3D Mode,3D Only,50,180,150,5,On,---,---,On,---,---,---,Off,Off,---,---,---,Off,On,On,Off,---,On,On,Off,Off,---,Off,,---,Off
1:r173,PH10228920,bph10228920,---,3D Mode,3D Only,50,180,150,5,On,---,---,On,---,---,---,Off,Off,---,---,---,Off,On,On,Off,---,On,On,Off,Off,---,Off,,---,Off
2:r174,PH10228920,bph10228920,---,3D Mode,3D Only,50,180,150,5,On,---,---,On,---,---,---,Off,Off,---,---,---,Off,On,On,Off,---,On,On,Off,Off,---,Off,,---,Off
2:r175,PH10228920,bph10228920,---,3D Mode,3D Only,50,180,150,5,On,---,---,On,---,---,---,Off,Off,---,---,---,Off,On,On,Off,---,On,On,Off,Off,---,Off,,---,Off
2:r172,PH10228920,bph10228920,---,3D Mode,3D Only,50,180,150,5,On,---,---,On,---,---,---,Off,Off,---,---,---,Off,On,On,Off,---,On,On,Off,Off,---,Off,,---,Off
2:r173,PH10228920,bph10228920,---,3D Mode,3D Only,50,180,150,5,On,---,---,On,---,---,---,Off,Off,---,---,---,Off,On,On,Off,---,On,On,Off,Off,---,Off,,---,Off
1:c120,PH15224748,bph15224748,---,3D Mode,3D Custom Height,50,390,385,7,On,---,---,On,---,---,---,Off,On,---,---,---,On,On,On,On,---,On,Off,Off,Off,---,Off,,---,Off
1:c121,PH15224748,bph15224748,---,3D Mode,3D Custom Height,50,390,385,7,On,---,---,On,---,---,---,Off,On,---,---,---,On,On,On,On,---,On,Off,Off,Off,---,Off,,---,Off
2:c120,PH15224748,bph15224748,---,3D Mode,3D Custom Height,50,390,385,7,On,---,---,On,---,---,---,Off,On,---,---,---,On,On,On,On,---,On,Off,Off,Off,---,Off,,---,Off
2:c121,PH15224748,bph15224748,---,3D Mode,3D Custom Height,50,390,385,7,On,---,---,On,---,---,---,Off,On,---,---,---,On,On,On,On,---,On,Off,Off,Off,---,Off,,---,Off
1:l1,PH17223690,bph17223690,---,3D Mode,3D Only,50,300,500,5,On,---,---,Off,---,---,---,Off,Off,---,---,---,Off,On,On,Off,---,On,On,Off,Off,---,Off,,---,Off
2:l1,PH17223690,bph17223690,---,3D Mode,3D Only,50,300,500,5,On,---,---,Off,---,---,---,Off,Off,---,---,---,Off,On,On,Off,---,On,On,Off,Off,---,Off,,---,Off
1:q17,PH20128027,bph20128027,---,3D Mode,3D Only,60,150,150,5,On,---,On,On,---,---,---,Off,On,---,---,---,On,On,On,Off,---,On,Off,Off,Off,---,Off,,---,Off
2:q17,PH20128027,bph20128027,---,3D Mode,3D Only,60,150,150,5,On,---,On,On,---,---,---,Off,On,---,---,---,On,On,On,Off,---,On,Off,Off,Off,---,Off,,---,Off
1:q3,PH20208636,bph20208636,---,3D Mode,3D Only,60,150,150,5,On,---,On,On,---,---,---,Off,On,---,---,---,On,On,On,Off,---,On,Off,Off,Off,---,Off,,---,Off
1:q4,PH20208636,bph20208636,---,3D Mode,3D Only,60,150,150,5,On,---,On,On,---,---,---,Off,On,---,---,---,On,On,On,Off,---,On,Off,Off,Off,---,Off,,---,Off
2:q3,PH20208636,bph20208636,---,3D Mode,3D Only,60,150,150,5,On,---,On,On,---,---,---,Off,On,---,---,---,On,On,On,Off,---,On,Off,Off,Off,---,Off,,---,Off
2:q4,PH20208636,bph20208636,---,3D Mode,3D Only,60,150,150,5,On,---,On,On,---,---,---,Off,On,---,---,---,On,On,On,Off,---,On,Off,Off,Off,---,Off,,---,Off
2:u7,PH25137296,bph25137296,---,3D Mode,3D Only,50,250,250,5,On,---,On,On,---,---,---,Off,On,---,---,---,On,On,On,On,---,On,Off,Off,Off,---,Off,,---,Off
1-y1,PH30212129,bph30212129,---,3D Mode,3D Only,60,180,220,5,On,---,---,On,---,---,---,Off,On,---,---,---,Off,On,On,Off,---,On,Off,Off,Off,---,Off,,---,Off
2:y1,PH30212129,bph30212129,---,3D Mode,3D Only,60,180,220,5,On,---,---,On,---,---,---,Off,On,---,---,---,Off,On,On,Off,---,On,Off,Off,Off,---,Off,,---,Off
1:d15,PH35120815,bph35120815,---,3D Mode,3D Only,50,150,150,5,On,---,On,On,---,---,---,Off,On,---,---,---,On,On,On,Off,---,On,Off,Off,Off,---,Off,,---,Off
2:d15,PH35120815,bph35120815,---,3D Mode,3D Only,50,150,150,5,On,---,On,On,---,---,---,Off,On,---,---,---,On,On,On,Off,---,On,Off,Off,Off,---,Off,,---,Off
1:d3,PH35124249,bph35124249,---,3D Mode,Auto 2D + 3D,60,210,180,5,On,---,On,On,---,---,---,Off,On,---,---,---,On,On,On,Off,---,On,Off,Off,Off,---,Off,,---,Off
1:d2,PH35124249,bph35124249,---,3D Mode,Auto 2D + 3D,60,210,180,5,On,---,On,On,---,---,---,Off,On,---,---,---,On,On,On,Off,---,On,Off,Off,Off,---,Off,,---,Off
1:d2,PH35124249,bph35124249,---,3D Mode,Auto 2D + 3D,60,210,180,5,On,---,On,On,---,---,---,Off,On,---,---,---,On,On,On,Off,---,On,Off,Off,Off,---,Off,,---,Off
2:d3,PH35124249,bph35124249,---,3D Mode,Auto 2D + 3D,60,210,180,5,On,---,On,On,---,---,---,Off,On,---,---,---,On,On,On,Off,---,On,Off,Off,Off,---,Off,,---,Off
2:d2,PH35124249,bph35124249,---,3D Mode,Auto 2D + 3D,60,210,180,5,On,---,On,On,---,---,---,Off,On,---,---,---,On,On,On,Off,---,On,Off,Off,Off,---,Off,,---,Off
2:d1,PH35124249,bph35124249,---,3D Mode,Auto 2D + 3D,60,210,180,5,On,---,On,On,---,---,---,Off,On,---,---,---,On,On,On,Off,---,On,Off,Off,Off,---,Off,,---,Off
1:d21,PH35128938,bph35128938,---,3D Mode,3D Only,60,200,300,5,On,---,---,On,---,---,---,Off,On,---,---,---,On,On,On,On,---,On,Off,Off,Off,---,Off,,---,Off
1:d22,PH35128938,bph35128938,---,3D Mode,3D Only,60,200,300,5,On,---,---,On,---,---,---,Off,On,---,---,---,On,On,On,On,---,On,Off,Off,Off,---,Off,,---,Off
1:d19,PH35128938,bph35128938,---,3D Mode,3D Only,60,200,300,5,On,---,---,On,---,---,---,Off,On,---,---,---,On,On,On,On,---,On,Off,Off,Off,---,Off,,---,Off
1:d20,PH35128938,bph35128938,---,3D Mode,3D Only,60,200,300,5,On,---,---,On,---,---,---,Off,On,---,---,---,On,On,On,On,---,On,Off,Off,Off,---,Off,,---,Off
1:d6,PH35128938,bph35128938,---,3D Mode,3D Only,60,200,300,5,On,---,---,On,---,---,---,Off,On,---,---,---,On,On,On,On,---,On,Off,Off,Off,---,Off,,---,Off
1:d5,PH35128938,bph35128938,---,3D Mode,3D Only,60,200,300,5,On,---,---,On,---,---,---,Off,On,---,---,---,On,On,On,On,---,On,Off,Off,Off,---,Off,,---,Off
1:d8,PH35128938,bph35128938,---,3D Mode,3D Only,60,200,300,5,On,---,---,On,---,---,---,Off,On,---,---,---,On,On,On,On,---,On,Off,Off,Off,---,Off,,---,Off
1:d7,PH35128938,bph35128938,---,3D Mode,3D Only,60,200,300,5,On,---,---,On,---,---,---,Off,On,---,---,---,On,On,On,On,---,On,Off,Off,Off,---,Off,,---,Off
1:d11,PH35128938,bph35128938,---,3D Mode,3D Only,60,200,300,5,On,---,---,On,---,---,---,Off,On,---,---,---,On,On,On,On,---,On,Off,Off,Off,---,Off,,---,Off
1:d9,PH35128938,bph35128938,---,3D Mode,3D Only,60,200,300,5,On,---,---,On,---,---,---,Off,On,---,---,---,On,On,On,On,---,On,Off,Off,Off,---,Off,,---,Off
2:d21,PH35128938,bph35128938,---,3D Mode,3D Only,60,200,300,5,On,---,---,On,---,---,---,Off,On,---,---,---,On,On,On,On,---,On,Off,Off,Off,---,Off,,---,Off
2:d22,PH35128938,bph35128938,---,3D Mode,3D Only,60,200,300,5,On,---,---,On,---,---,---,Off,On,---,---,---,On,On,On,On,---,On,Off,Off,Off,---,Off,,---,Off
2:d19,PH35128938,bph35128938,---,3D Mode,3D Only,60,200,300,5,On,---,---,On,---,---,---,Off,On,---,---,---,On,On,On,On,---,On,Off,Off,Off,---,Off,,---,Off
2:d20,PH35128938,bph35128938,---,3D Mode,3D Only,60,200,300,5,On,---,---,On,---,---,---,Off,On,---,---,---,On,On,On,On,---,On,Off,Off,Off,---,Off,,---,Off
2:d6,PH35128938,bph35128938,---,3D Mode,3D Only,60,200,300,5,On,---,---,On,---,---,---,Off,On,---,---,---,On,On,On,On,---,On,Off,Off,Off,---,Off,,---,Off
2:d5,PH35128938,bph35128938,---,3D Mode,3D Only,60,200,300,5,On,---,---,On,---,---,---,Off,On,---,---,---,On,On,On,On,---,On,Off,Off,Off,---,Off,,---,Off
2:d8,PH35128938,bph35128938,---,3D Mode,3D Only,60,200,300,5,On,---,---,On,---,---,---,Off,On,---,---,---,On,On,On,On,---,On,Off,Off,Off,---,Off,,---,Off
2:d7,PH35128938,bph35128938,---,3D Mode,3D Only,60,200,300,5,On,---,---,On,---,---,---,Off,On,---,---,---,On,On,On,On,---,On,Off,Off,Off,---,Off,,---,Off
2:d11,PH35128938,bph35128938,---,3D Mode,3D Only,60,200,300,5,On,---,---,On,---,---,---,Off,On,---,---,---,On,On,On,On,---,On,Off,Off,Off,---,Off,,---,Off
2:d9,PH35128938,bph35128938,---,3D Mode,3D Only,60,200,300,5,On,---,---,On,---,---,---,Off,On,---,---,---,On,On,On,On,---,On,Off,Off,Off,---,Off,,---,Off
1:d18,PH35132928,bph35132928,---,3D Mode,3D Only,60,200,200,5,On,---,---,On,---,---,---,Off,On,---,---,---,On,On,On,On,---,On,Off,Off,Off,---,Off,,---,Off
2:d18,PH35132928,bph35132928,---,3D Mode,3D Only,60,200,200,5,On,---,---,On,---,---,---,Off,On,---,---,---,On,On,On,On,---,On,Off,Off,Off,---,Off,,---,Off
